省/自治区/直辖市/特别行政区	市	区/县	微博名称	认证机构	链接地址	微博等级	粉丝数	微博数
广东	江门		中国侨都江门发布	广东省江门市人民政府新闻办公室官方微博	http://weibo.com/u/5167878023	22	92561	5068
广东	江门	蓬江区	蓬江发布	江门市蓬江区人民政府官方微博	http://weibo.com/u/5183998272	14	4436	731
广东	江门	高新江海区	高新发布	广东省江门高新区管委会、江海区人民政府官方微博	http://weibo.com/zgqdgxfb	419	877	13
广东	江门	新会区	新会发布	广东省江门市新会区人民政府官方微博	http://weibo.com/xhqrmzf	18	9157	1283
广东	江门	台山市	台山发布	台山市人民政府官方微博	http://weibo.com/u/5507821897	16	1074	1391
广东	江门	开平市	开平发布	广东省开平市人民政府办公室官方微博	http://weibo.com/u/5426665403	14	5950	1866
广东	江门	鹤山市	鹤山发布	鹤山市委市政府官方微博	http://weibo.com/u/2183867180	23	60848	2518
广东	江门	恩平市	恩平发布	广东省恩平市人民政府办公室官方微博	http://weibo.com/u/5473872563	13	227	683
北京市			北京发布	北京市政府新闻办公室官方微博	http://weibo.com/bjfbt	29	6600609	32295
北京市		东城区	北京市东城	北京市东城区官方微博	http://weibo.com/beijingdongcheng	28	773366	10235
北京市		西城区	北京西城	北京市西城区人民政府新闻办公室官方微博	http://weibo.com/beijingxicheng	28	886916	12223
北京市		海淀区	海淀在线	北京市海淀区政府官方微博	http://weibo.com/haidianzaixian	24	1978279	12133
北京市		朝阳区	北京朝阳	北京市朝阳区政府官方微博	http://weibo.com/beijingchaoyangqu	30	885650	12164
北京市		丰台区	北京丰台	北京市丰台区政府官方微博	http://weibo.com/u/2590506142	29	1352367	14532
北京市		石景山区	北京市石景山	北京市石景山区政府官方微博	http://weibo.com/bjcrd	27	438225	13407
北京市		通州区	北京市通州	北京市通州区官方政务微博	http://weibo.com/beijingtongzhou	21	1410206	5424
北京市		顺义区	绿港顺义	北京市顺义区政府官方微博	http://weibo.com/u/2590508312	26	507058	7141
北京市		房山区	Funhill房山	北京市房山区政府官方微博	http://weibo.com/bjfsh	26	1600545	7419
北京市		大兴区	北京大兴 	北京大兴区官方微博	http://weibo.com/daxingwb	24	1341355	9470
北京市		昌平区	北京昌平	北京市昌平区官方政务微博	http://weibo.com/bjchangping	29	789874	21299
北京市		怀柔区	山水怀柔 	北京市怀柔区官方政务微博	http://weibo.com/shanshuihuairou	28	212979	16888
北京市		平谷区	北京平谷	北京市平谷区政府官方微博	http://weibo.com/bjpg	22	200778	4855
北京市		门头沟区	京西门头沟	北京市门头沟区政府官方微博	http://weibo.com/zgmtg	28	691202	10268
北京市		密云县	宜居密云	北京市密云县官方微博	http://weibo.com/u/2525762990	26	1332680	5708
北京市		延庆县	北京延庆	北京市延庆县官方微博	http://weibo.com/beijingyanqing	27	222010	7857
上海市			上海发布 	上海市政府新闻办公室官方微博	http://weibo.com/shanghaicity	30	5699892	33620
上海市		黄浦区	上海黄浦	上海市黄浦区人民政府新闻办官方微博	http://weibo.com/u/2557155457	29	71376	32977
上海市		浦东新区	浦东发布 	上海市浦东新区人民政府新闻办公室官方微博	http://weibo.com/pudongnews	29	148363	14661
上海市		徐汇区	上海徐汇发布	上海市徐汇区新闻办公室	http://weibo.com/xuhuinews	29	129457	22059
上海市		长宁区	上海长宁	上海长宁区政府新闻办	http://weibo.com/changning	31	111761	22875
上海市		静安区	上海静安	静安区微博	http://weibo.com/u/2541763545	29	89756	31796
上海市		普陀区	上海普陀	上海市普陀区人民政府新闻办公室官方微博	http://weibo.com/shputuo	27	187979	24468
上海市		闸北区	闸北发布	上海市闸北区人民政府官方微博	http://weibo.com/u/2498865323	29	255061	21611
上海市		虹口区	上海虹口	上海市虹口区新闻办官方微博	http://weibo.com/hongkouqu	26	104114	10366
上海市		杨浦区	上海杨浦	上海市杨浦区政府	http://weibo.com/shypgov	29	105700	18273
上海市		闵行区	上海闵行	上海市闵行区人民政府新闻办公室官方微博	http://weibo.com/minhang	29	197687	25015
上海市		宝山区	上海宝山发布	上海市宝山区人民政府官方微博	http://weibo.com/shbs	29	373386	31321
上海市		嘉定区	嘉定发布	上海市嘉定区人民政府新闻办公室官方微博	http://weibo.com/jiadingfabu	29	93006	14535
上海市		金山区	金山传播	上海市金山区人民政府新闻办公室	http://weibo.com/jsqxwb	30	81425	18283
上海市		松江区	上海松江发布	上海市松江区人民政府官方微博	http://weibo.com/shsongjiang	27	74104	20036
上海市		青浦区	绿色青浦	上海市青浦区人民政府新闻办公室官方微博	http://weibo.com/lvseqingpu	28	83186	16635
上海市		奉贤区	上海奉贤发布	上海市奉贤区人民政府新闻办公室官方微博	http://weibo.com/fengxian	29	39925	17066
上海市		崇明县	上海崇明	上海市崇明县人民政府新闻办公室官方微博	http://weibo.com/cmxwb	29	40367	13811
安徽省			安徽发布	安徽省互联网信息办公室官方微博	http://weibo.com/ahfb	27	1170924	18521
安徽省	合肥		合肥发布	合肥市委对外宣传办公室、市政府新闻办公室官方微博	http://weibo.com/u/2403752844	25	372039	3859
安徽省	合肥	肥东县	肥东发布	中共肥东县委宣传部微博	http://weibo.com/u/2709898807	26	4281	1773
安徽省	合肥	肥西县	肥西县	肥西县委宣传部官方微博	http://weibo.com/u/3229534892	12	1548	618
安徽省	合肥	长丰县	幸福长丰	长丰县委宣传部官方微博	http://weibo.com/ahhfcf	14	1331	876
安徽省	合肥	庐江县	庐江发布	中共庐江县委宣传部官方微博	http://weibo.com/u/2744247674	14	7137	340
安徽省	合肥	巢湖市	巢湖发布	安徽省巢湖市人民政府新闻办公室官方微博	http://weibo.com/u/2568464022	19	22404	2306
安徽省	合肥	瑶海区	瑶海发布	安徽省合肥市瑶海区官方微博	http://weibo.com/hfyhfb	20	29431	2536
安徽省	合肥	庐阳区	庐阳发布	合肥市庐阳区人民政府官方微博	http://weibo.com/u/3186952954	23	26027	4316
安徽省	合肥	蜀山区	魅力蜀山	中共合肥市蜀山区委宣传部官方微博	http://weibo.com/u/2712160012	23	32362	3125
安徽省	合肥	包河区	安徽第一城区包河区	合肥市包河区官方微博	http://weibo.com/hefeibaohe	27	206718	5814
安徽省	淮北		淮北发布	安徽省淮北市互联网信息办公室官方微博	http://weibo.com/u/2625512830	21	22445	2108
安徽省	淮北	相山区	淮北市相山区共青团	共青团淮北市相山区委员会官方微博	http://weibo.com/u/1980264610	14	830	780
安徽省	淮北	杜集区	共青团杜集区委	共青团淮北市杜集区委员会官方微博	http://weibo.com/u/2684772171	5	190	148
安徽省	淮北	烈山区	淮北烈山发布	安徽省淮北市烈山区互联网宣传管理办公室官方微博	http://weibo.com/u/5177739262	18	355	2274
安徽省	淮北	濉溪县	濉溪政务	安徽省淮北市濉溪县委宣传部官方微博	http://weibo.com/u/5247984008	10	193	332
安徽省	亳州		亳州发布	亳州市互联网信息办公室官方微博	http://weibo.com/u/3442980450	26	33506	11653
安徽省	亳州	谯城区	谯城发布	中共亳州市谯城区委宣传部官方微博	http://weibo.com/u/5041662673	11	612	412
安徽省	亳州	蒙城区	蒙城发布	安徽省毫州市蒙城县人民政府官方微博	http://weibo.com/u/5031576509	17	1252	2373
安徽省	亳州	涡阳县	涡阳发布	中国共产党涡阳县委员会宣传部官方微博	http://weibo.com/guoyangfabu	16	6208	1531
安徽省	亳州	利辛县	利辛发布	安徽省亳州市利辛县委宣传部官方微博	http://weibo.com/u/3216505712	21	1333	3734
安徽省	宿州		宿州发布	安徽省宿州市人民政府办公室官方微博	http://weibo.com/ahszfb	26	66178	22997
安徽省	宿州	埇桥区	埇桥微博	安徽省宿州市埇桥区网宣办官方微博	http://weibo.com/u/1948623410	21	3360	10872
安徽省	宿州	砀山县	砀山微博	安徽省砀山县互联网宣传管理办公室官方微博	http://weibo.com/dswxb	24	4284	6877
安徽省	宿州	萧县	萧县发布	安徽省宿州市萧县互联网宣传管理办公室官方微博	http://weibo.com/u/3215052832	19	6988	7781
安徽省	宿州	灵璧县	灵璧官博	安徽省宿州市灵璧县人民政府办公室官方微博	http://weibo.com/u/3231608210	14	1076	1224
安徽省	宿州	泗县	泗县发布	中共泗县县委宣传部官方微博	http://weibo.com/sixiangov	21	2361	9875
